Filename,Formula,Notes,Num Elements,2a,2c,6h (1),6h (2),12k,combined_RE10_l,combined_RE10
1722747.cif,Cd3Dy10Fe,,3,Dy,Fe,Dy,Cd,Dy,"[['Dy', 3.0]]",Dy3.0
1722745.cif,Cd2.90Co1.10Y10,,3,Y,Co,Y,Cd0.966Co0.034,Y,"[['Y', 3.0]]",Y3.0
1722756.cif,Cd3CoTm10,,3,Tm,Co,Tm,Cd,Tm,"[['Tm', 3.0]]",Tm3.0
1722752.cif,Cd3CoTb10,,3,Tb,Co,Tb,Cd,Tb,"[['Tb', 3.0]]",Tb3.0
1722757.cif,Cd3CoLu10,,3,Lu,Co,Lu,Cd,Lu,"[['Lu', 3.0]]",Lu3.0
1722754.cif,Cd3CoHo10,,3,Ho,Co,Ho,Cd,Ho,"[['Ho', 3.0]]",Ho3.0
1722755.cif,Cd3CoEr10,,3,Er,Co,Er,Cd,Er,"[['Er', 3.0]]",Er3.0
1722753.cif,Cd3CoDy10,,3,Dy,Co,Dy,Cd,Dy,"[['Dy', 3.0]]",Dy3.0
1532707.cif,Al3RuY10,,3,Y,Ru,Y,Al,Y,"[['Y', 3.0]]",Y3.0
1532714.cif,Al3RhY10,,3,Y,Rh,Y,Al,Y,"[['Y', 3.0]]",Y3.0
1532723.cif,Al3PtY10,,3,Y,Pt,Y,Al,Y,"[['Y', 3.0]]",Y3.0
1532716.cif,Al3PdY10,,3,Y,Pd,Y,Al,Y,"[['Y', 3.0]]",Y3.0
1532719.cif,Al3OsY10,,3,Y,Os,Y,Al,Y,"[['Y', 3.0]]",Y3.0
1532711.cif,Al3NiY10,,3,Y,Ni,Y,Al,Y,"[['Y', 3.0]]",Y3.0
1532712.cif,Al3NiTm10,,3,Tm,Ni,Tm,Al,Tm,"[['Tm', 3.0]]",Tm3.0
1532713.cif,Al3Lu10Ru,,3,Lu,Ru,Lu,Al,Lu,"[['Lu', 3.0]]",Lu3.0
1532715.cif,Al3Lu10Rh,,3,Lu,Rh,Lu,Al,Lu,"[['Lu', 3.0]]",Lu3.0
1532724.cif,Al3Lu10Pt,,3,Lu,Pt,Lu,Al,Lu,"[['Lu', 3.0]]",Lu3.0
1532718.cif,Al3Lu10Pd,,3,Lu,Pd,Lu,Al,Lu,"[['Lu', 3.0]]",Lu3.0
1532720.cif,Al3Lu10Os,,3,Lu,Os,Lu,Al,Lu,"[['Lu', 3.0]]",Lu3.0
1532721.cif,Al3IrY10,,3,Y,Ir,Y,Al,Y,"[['Y', 3.0]]",Y3.0
1532722.cif,Al3IrLu10,,3,Lu,Ir,Lu,Al,Lu,"[['Lu', 3.0]]",Lu3.0
1532717.cif,Al3Ho10Pd,,3,Ho,Pd,Ho,Al,Ho,"[['Ho', 3.0]]",Ho3.0
1147175.cif,Al3Ho10Ni,,3,Ho,Ni,Ho,Al,Ho,"[['Ho', 3.0]]",Ho3.0
1532708.cif,Al3FeLu10,,3,Lu,Fe,Lu,Al,Lu,"[['Lu', 3.0]]",Lu3.0
1147176.cif,Al3Er10Ni,,3,Er,Ni,Er,Al,Er,"[['Er', 3.0]]",Er3.0
1147150.cif,Al3CoY10,,3,Y,Co,Y,Al,Y,"[['Y', 3.0]]",Y3.0
1532709.cif,Al3CoY10,,3,Y,Co,Y,Al,Y,"[['Y', 3.0]]",Y3.0
1147154.cif,Al3CoTm10,,3,Tm,Co,Tm,Al,Tm,"[['Tm', 3.0]]",Tm3.0
1532710.cif,Al3CoLu10,,3,Lu,Co,Lu,Al,Lu,"[['Lu', 3.0]]",Lu3.0
1147152.cif,Al3CoHo10,,3,Ho,Co,Ho,Al,Ho,"[['Ho', 3.0]]",Ho3.0
1147153.cif,Al3CoEr10,,3,Er,Co,Er,Al,Er,"[['Er', 3.0]]",Er3.0
1147151.cif,Al3CoDy10,,3,Dy,Co,Dy,Al,Dy,"[['Dy', 3.0]]",Dy3.0
1722740.cif,Cd3Y10Ru,,3,Y,Ru,Y,Cd,Y,"[['Y', 3.0]]",Y3.0
