Filename,Formula,Entry prototype,Notes,Num Elements,2c,2a,6h1,6h2,12k
1050245.cif,Cd3Ho10Os,"Cd3Y10Ru,hP28,194",,3,Os,Ho,Ho,Cd,Ho
1050241.cif,Cd3.13OsSm9.87,"Cd3Y10Ru,hP28,194",,3,Os,Sm0.87Cd0.13,Sm,Cd,Sm
1147113.cif,Cd3Er10Rh,"Cd3Y10Ru,hP28,194",,3,Rh,Er,Er,Cd,Er
1050240.cif,Cd3OsY10,"Cd3Y10Ru,hP28,194",,3,Os,Y,Y,Cd,Y
1050242.cif,Cd3Gd10Os,"Cd3Y10Ru,hP28,194",,3,Os,Gd,Gd,Cd,Gd
1050243.cif,Cd3OsTb10,"Cd3Y10Ru,hP28,194",,3,Os,Tb,Tb,Cd,Tb
1532722.cif,Al3IrLu10,"Cd3Y10Ru,hP28,194",,3,Ir,Lu,Lu,Al,Lu
1147176.cif,Al3Er10Ni,"Cd3Y10Ru,hP28,194",,3,Ni,Er,Er,Al,Er
1722748.cif,Cd3FeHo10,"Cd3Y10Ru,hP28,194",,3,Fe,Ho,Ho,Cd,Ho
1722760.cif,Cd3Lu10Ni,"Cd3Y10Ru,hP28,194",,3,Ni,Lu,Lu,Cd,Lu
1722761.cif,Cd3RuTb10,"Cd3Y10Ru,hP28,194",,3,Ru,Tb,Tb,Cd,Tb
1722749.cif,Cd3Ho10Ni,"Cd3Y10Ru,hP28,194",,3,Ni,Ho,Ho,Cd,Ho
1532723.cif,Al3PtY10,"Cd3Y10Ru,hP28,194",,3,Pt,Y,Y,Al,Y
1532721.cif,Al3IrY10,"Cd3Y10Ru,hP28,194",,3,Ir,Y,Y,Al,Y
1532709.cif,Al3CoY10,"Cd3Y10Ru,hP28,194",,3,Co,Y,Y,Al,Y
1147175.cif,Al3Ho10Ni,"Cd3Y10Ru,hP28,194",,3,Ni,Ho,Ho,Al,Ho
1722763.cif,Cd3Ho10Ru,"Cd3Y10Ru,hP28,194",,3,Ru,Ho,Ho,Cd,Ho
